Meta information
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Advertiser Information
Account: 886955422977935,Business: D.A. VENUS INVESTMENTS LTD,7 ימימה,"ירושלים,  9675783",Israel

Billing Report: 1/1/2025 - 1/1/2026

Meta Ads payment
Payment Method: Visa ···· 4176
Date,Transaction ID,Amount,Currency
12/30/2025,25491738463846159-25623549400665069,"2,000.00",USD
12/28/2025,25604149089271767-25604149109271765,517.70,USD
12/27/2025,25596670830019593-25465084213178251,"2,000.00",USD
12/24/2025,25630407776645889-25630407829979217,"1,965.20",USD
12/21/2025,25551213494565327-25403146449372031,"2,000.00",USD
12/19/2025,25512240331795973-25382136678139675,"2,000.00",USD
12/16/2025,25377738105246196-25405686335784710,"2,000.00",USD
12/15/2025,25688963407456993-25688963480790319,"2,000.00",USD
12/13/2025,25460095400343800-25460095460343794,"2,000.00",USD
12/11/2025,25444885808531426-25520174977669170,"2,000.00",USD
12/10/2025,25468136139539724-25319375107749163,"2,000.00",USD
12/8/2025,25382875964732412-25285840857769258,"2,000.00",USD
12/6/2025,25368186649534677-25400448599641814,"2,000.00",USD
12/5/2025,25387709504249057-25462269273459741,"2,000.00",USD
12/3/2025,25372712912415383-25287904877562857,"2,000.00",USD
12/1/2025,25230674159952595-25359805643706110,"2,000.00",USD
11/30/2025,25413968968289774-25348509161502425,"2,000.00",USD
11/28/2025,25547853968234605-25303612872658722,"2,000.00",USD
11/28/2025,25327902176896457-25216387208047954,2.15,USD
11/27/2025,25359513717068634-25211472555206086,"2,000.00",USD
11/25/2025,25522362990783703-25225279280492084,"2,000.00",USD
11/24/2025,25372626402424029-25186407991045876,"2,000.00",USD
11/22/2025,25298289606524385-25494123706940965,"2,000.00",USD
11/20/2025,25301568216196518-25180015638351782,"2,000.00",USD
11/19/2025,25219166311103379-25462651010088235,"2,000.00",USD
11/17/2025,25308981945455142-25202347339451943,"2,000.00",USD
11/15/2025,25292063753813628-25428693033484033,"2,000.00",USD
11/13/2025,25169388952747782-25200883959598280,"2,000.00",USD
11/12/2025,25055747517445261-25220901507596523,"2,000.00",USD
11/10/2025,25136744119345599-25083154741371206,"2,000.00",USD
11/8/2025,25064471576572856-25361255900227747,"2,000.00",USD
11/6/2025,25196747553345251-25130041866682490,"2,000.00",USD
11/4/2025,25026800687006612-25001352909551386,"1,999.02",USD
11/2/2025,25093635710323106-25169357942750877,"2,000.00",USD
10/31/2025,25150164818003523-25043573105329368,"2,000.00",USD
10/30/2025,25057779113908766-25133505406336131,"2,000.00",USD
10/28/2025,25053844687635546-24954000664286615,"1,134.06",USD
10/26/2025,24896416970044984-25038730145813667,"2,000.00",USD
10/24/2025,25065530589800282-24967189529634393,"2,000.00",USD
10/21/2025,24986306884389327-25039136555773019,"2,000.00",USD
10/19/2025,24918429057843774-24986805854339424,"2,000.00",USD
10/17/2025,24837632065923476-24923566257330053,"2,000.00",USD
10/15/2025,24975550432131630-25111337851886221,"1,887.00",USD
10/13/2025,24917954771224533-24948473658172643,"1,731.00",USD
10/11/2025,24826182310401783-25069959136024093,"1,731.00",USD
10/8/2025,24846478721705478-24846478758372141,"1,754.00",USD
10/6/2025,24810675528619127-24700178313002182,"1,679.00",USD
10/4/2025,24803408636012487-25000898849596789,"1,584.00",USD
10/3/2025,24742141198805895-24650091278010889,"1,627.00",USD
9/30/2025,24617273311292686-24617273321292685,"2,000.00",USD
9/28/2025,24735319236154761-24792049407148403,555.32,USD
9/27/2025,24605347109151970-24715793624773985,"2,000.00",USD
9/24/2025,24763643049989037-24897032556650086,"2,000.00",USD
9/21/2025,24736914139328595-24534144282938923,"2,000.00",USD
9/17/2025,24516763261343689-24500065199680165,"2,000.00",USD
9/14/2025,24633304169689596-24474655232221162,"2,000.00",USD
